,text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,tokenized_text,token_texts,no_of_question_marks,no_of_exclamation_marks,no_of_hashtags,no_of_mentions,no_of_urls,cleaned_text,no_of_colon_marks,no_of_words
0,"Modi ji and his government works
When opposition is protesting and blaming the government.
This is how govt. Should… https://t.co/Cez8dvvWLP",19-12-2019 14:43,,en,,,184,10074,"मालवा मध्य प्रदेश    ||⛳ ब्राह्मण ⛳||

Democracy at work

                                                     





Advocate in making 🎓 ll Political writer✍",Indore India,9.77E+17,24-03-2018 05:37,FALSE,FALSE,https://instagram.com/abhishek.pathak.9617?igshid=14mitpe65jnha,0,221,FALSE,,89,TRUE,Abhishek Pathak 🇮🇳,,abhishek_9617,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1185482258062249985/T1d_K-yo_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['Modi', 'ji', 'and', 'his', 'government', 'works', 'When', 'opposition', 'is', 'protesting', 'and', 'blaming', 'the', 'government', '.', 'This', 'is', 'how', 'govt', '.', 'Should', '…', 'https://t.co/Cez8dvvWLP']","['Modi', 'ji', 'government', 'works', 'opposition', 'protesting', 'blaming', 'government', '.', 'govt', '.', '…', 'https://t.co/Cez8dvvWLP']",0,0,0,0,1,"Modi ji and his government works
When opposition is protesting and blaming the government
This is how govt Should… ",0,19
1,#ISupportDelhiPolice #ISupportCAA #ISupportCAB #ISupportNRC @INCIndia congress walo kan khol ko sun lo hume bhi roa… https://t.co/zEO9yLS59l,19-12-2019 14:43,,hi,,,701,37,,"New Delhi, India",482193169,03-02-2012 16:42,FALSE,FALSE,,0,9,FALSE,,39,TRUE,chandan kumar upadhy,,ChAnDu_BaBu_7,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1143061511608258560/gyHpxEb7_normal.jpg,,1.21E+18,0,FALSE,Twitter Web App,FALSE,0,"['#ISupportDelhiPolice', '#ISupportCAA', '#ISupportCAB', '#ISupportNRC', '@INCIndia', 'congress', 'walo', 'kan', 'khol', 'ko', 'sun', 'lo', 'hume', 'bhi', 'roa', '…', 'https://t.co/zEO9yLS59l']","['#ISupportDelhiPolice', '#ISupportCAA', '#ISupportCAB', '#ISupportNRC', '@INCIndia', 'congress', 'walo', 'kan', 'khol', 'ko', 'sun', 'lo', 'hume', 'bhi', 'roa', '…', 'https://t.co/zEO9yLS59l']",0,0,4,1,1,ISupportDelhiPolice ISupportCAA ISupportCAB ISupportNRC  congress walo kan khol ko sun lo hume bhi roa… ,0,14
2,"@narendramodi कांग्रेस और उनके साथियों को प्रधानमंत्री @narendramodi जी खुली चुनौती -💪

जिसमे भी हो हिम्मत, आ जाओ अ… https://t.co/6RGpHD0kpy",19-12-2019 14:43,,hi,,,48550,123412,"हिन्दू बनना चाहते हैं तो स्वामी विवेकानंद बनें ~
मुस्लिम बनना चाहते हैं तो डॉ० कलाम बनें ~

इतने महान नहीं बन सकते तो बस इंसान बनें 🙏","गुजरात, भारत",1.01E+18,15-06-2018 13:22,FALSE,FALSE,,0,2803,FALSE,,55,TRUE,SANJAY D THAKOR,,sanjaysanjay738,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1200694159067119616/8QCTFkhM_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@narendramodi', 'क', 'ा', 'ं', 'ग', '्', 'र', 'े', 'स', 'और', 'उनक', 'े', 'स', 'ा', 'थ', 'ि', 'य', 'ो', 'ं', 'क', 'ो', 'प', '्', 'रध', 'ा', 'नम', 'ं', 'त', '्', 'र', 'ी', '@narendramodi', 'ज', 'ी', 'ख', 'ु', 'ल', 'ी', 'च', 'ु', 'न', 'ौ', 'त', 'ी', '-', '💪', 'ज', 'ि', 'सम', 'े', 'भ', 'ी', 'ह', 'ो', 'ह', 'ि', 'म', '्', 'मत', ',', 'आ', 'ज', 'ा', 'ओ', 'अ', '…', 'https://t.co/6RGpHD0kpy']","['@narendramodi', 'क', 'ा', 'ं', 'ग', '्', 'र', 'े', 'स', 'और', 'उनक', 'े', 'स', 'ा', 'थ', 'ि', 'य', 'ो', 'ं', 'क', 'ो', 'प', '्', 'रध', 'ा', 'नम', 'ं', 'त', '्', 'र', 'ी', '@narendramodi', 'ज', 'ी', 'ख', 'ु', 'ल', 'ी', 'च', 'ु', 'न', 'ौ', 'त', 'ी', '-', '💪', 'ज', 'ि', 'सम', 'े', 'भ', 'ी', 'ह', 'ो', 'ह', 'ि', 'म', '्', 'मत', ',', 'आ', 'ज', 'ा', 'ओ', 'अ', '…', 'https://t.co/6RGpHD0kpy']",0,0,0,2,1," कांग्रेस और उनके साथियों को प्रधानमंत्री  जी खुली चुनौती -💪

जिसमे भी हो हिम्मत आ जाओ अ… ",0,32
3,"@narendramodi कांग्रेस और उनके साथियों को प्रधानमंत्री @narendramodi जी खुली चुनौती -💪

जिसमे भी हो हिम्मत, आ जाओ अ… https://t.co/Tohsmjwlff",19-12-2019 14:43,,hi,,,48550,123413,"हिन्दू बनना चाहते हैं तो स्वामी विवेकानंद बनें ~
मुस्लिम बनना चाहते हैं तो डॉ० कलाम बनें ~

इतने महान नहीं बन सकते तो बस इंसान बनें 🙏","गुजरात, भारत",1.01E+18,15-06-2018 13:22,FALSE,FALSE,,0,2803,FALSE,,55,TRUE,SANJAY D THAKOR,,sanjaysanjay738,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1200694159067119616/8QCTFkhM_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@narendramodi', 'क', 'ा', 'ं', 'ग', '्', 'र', 'े', 'स', 'और', 'उनक', 'े', 'स', 'ा', 'थ', 'ि', 'य', 'ो', 'ं', 'क', 'ो', 'प', '्', 'रध', 'ा', 'नम', 'ं', 'त', '्', 'र', 'ी', '@narendramodi', 'ज', 'ी', 'ख', 'ु', 'ल', 'ी', 'च', 'ु', 'न', 'ौ', 'त', 'ी', '-', '💪', 'ज', 'ि', 'सम', 'े', 'भ', 'ी', 'ह', 'ो', 'ह', 'ि', 'म', '्', 'मत', ',', 'आ', 'ज', 'ा', 'ओ', 'अ', '…', 'https://t.co/Tohsmjwlff']","['@narendramodi', 'क', 'ा', 'ं', 'ग', '्', 'र', 'े', 'स', 'और', 'उनक', 'े', 'स', 'ा', 'थ', 'ि', 'य', 'ो', 'ं', 'क', 'ो', 'प', '्', 'रध', 'ा', 'नम', 'ं', 'त', '्', 'र', 'ी', '@narendramodi', 'ज', 'ी', 'ख', 'ु', 'ल', 'ी', 'च', 'ु', 'न', 'ौ', 'त', 'ी', '-', '💪', 'ज', 'ि', 'सम', 'े', 'भ', 'ी', 'ह', 'ो', 'ह', 'ि', 'म', '्', 'मत', ',', 'आ', 'ज', 'ा', 'ओ', 'अ', '…', 'https://t.co/Tohsmjwlff']",0,0,0,2,1," कांग्रेस और उनके साथियों को प्रधानमंत्री  जी खुली चुनौती -💪

जिसमे भी हो हिम्मत आ जाओ अ… ",0,32
4,"All the terrorists must be dragged to the Jail

#IsupportCAB2019
#IndiaSupportsCAA",19-12-2019 14:43,,en,,,328,5144,IIT D Alumnus । Wireless Telecom Expert | Accidental Engineer | Proud Bhakt of Modi Ji | Proud Bhakt Yogi Ji | Social Works | Nation First | Humanity's First |,Delhi,111231701,04-02-2010 06:24,FALSE,FALSE,,3,41,FALSE,,168,TRUE,Sandeep Verma,,SandeepVer,TRUE,C0DEED,http://pbs.twimg.com/profile_images/580930828256952321/CLmz6Wnx_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['All', 'the', 'terrorists', 'must', 'be', 'dragged', 'to', 'the', 'Jail', '#IsupportCAB2019', '#IndiaSupportsCAA']","['terrorists', 'must', 'dragged', 'Jail', '#IsupportCAB2019', '#IndiaSupportsCAA']",0,0,2,0,0,"All the terrorists must be dragged to the Jail

IsupportCAB2019
IndiaSupportsCAA",0,11
5,"@poetdushyant और जो ख़ुद को ज़िंदा मानता है,
लाशों की जलती अग्नि पर अपनी रोटियाँ ना सेंकें।
ये भी जोड़ देना चाहिए आ… https://t.co/mLhLmeEHhe",19-12-2019 14:43,,hi,,,139,1054,Mentor of Filmmaking at http://MyCaptain.in and A Mass Communication Graduate.,"Jaipur, India",1.02E+18,24-07-2018 07:12,FALSE,FALSE,,0,12,FALSE,,203,TRUE,Lokesh Somani,,LokeshExists,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1056808795190554624/1gX0a_aJ_normal.jpg,,1.21E+18,0,FALSE,Twitter for iPhone,FALSE,0,"['@poetdushyant', 'और', 'ज', 'ो', 'ख', '़', 'ु', 'द', 'क', 'ो', 'ज', '़', 'ि', 'ं', 'द', 'ा', 'म', 'ा', 'नत', 'ा', 'ह', 'ै', ',', 'ल', 'ा', 'श', 'ो', 'ं', 'क', 'ी', 'जलत', 'ी', 'अग', '्', 'न', 'ि', 'पर', 'अपन', 'ी', 'र', 'ो', 'ट', 'ि', 'य', 'ा', 'ँ', 'न', 'ा', 'स', 'े', 'ं', 'क', 'े', 'ं', '।', 'य', 'े', 'भ', 'ी', 'ज', 'ो', 'ड', '़', 'द', 'े', 'न', 'ा', 'च', 'ा', 'ह', 'ि', 'ए', 'आ', '…', 'https://t.co/mLhLmeEHhe']","['@poetdushyant', 'और', 'ज', 'ो', 'ख', '़', 'ु', 'द', 'क', 'ो', 'ज', '़', 'ि', 'ं', 'द', 'ा', 'म', 'ा', 'नत', 'ा', 'ह', 'ै', ',', 'ल', 'ा', 'श', 'ो', 'ं', 'क', 'ी', 'जलत', 'ी', 'अग', '्', 'न', 'ि', 'पर', 'अपन', 'ी', 'र', 'ो', 'ट', 'ि', 'य', 'ा', 'ँ', 'न', 'ा', 'स', 'े', 'ं', 'क', 'े', 'ं', '।', 'य', 'े', 'भ', 'ी', 'ज', 'ो', 'ड', '़', 'द', 'े', 'न', 'ा', 'च', 'ा', 'ह', 'ि', 'ए', 'आ', '…', 'https://t.co/mLhLmeEHhe']",0,0,0,1,1," और जो ख़ुद को ज़िंदा मानता है
लाशों की जलती अग्नि पर अपनी रोटियाँ ना सेंकें।
ये भी जोड़ देना चाहिए आ… ",0,34
6,"@girishalva सरकार को केवल वोट देकर खाली हो जाना सही नहीं है , राष्ट्रहित में  सड़क पर आना ही पड़ता है ।

#CAASupport",19-12-2019 14:43,,hi,,,2663,729,🚩🚩 Nationalist 🇮🇳 🇮🇳  ।। interested in politics and scientific Technology ।।  and interested in playing cricket  ।। and reading historical books.,,1.17E+18,17-09-2019 04:45,FALSE,FALSE,,0,36,FALSE,,25,TRUE,Kumar Umesh,,UmeshKu15158067,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1206983703970238464/6idIgV0J_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['@girishalva', 'सरक', 'ा', 'र', 'क', 'ो', 'क', 'े', 'वल', 'व', 'ो', 'ट', 'द', 'े', 'कर', 'ख', 'ा', 'ल', 'ी', 'ह', 'ो', 'ज', 'ा', 'न', 'ा', 'सह', 'ी', 'नह', 'ी', 'ं', 'ह', 'ै', ',', 'र', 'ा', 'ष', '्', 'ट', '्', 'रह', 'ि', 'त', 'म', 'े', 'ं', 'सड', '़', 'क', 'पर', 'आन', 'ा', 'ह', 'ी', 'पड', '़', 'त', 'ा', 'ह', 'ै', '।', '#CAASupport']","['@girishalva', 'सरक', 'ा', 'र', 'क', 'ो', 'क', 'े', 'वल', 'व', 'ो', 'ट', 'द', 'े', 'कर', 'ख', 'ा', 'ल', 'ी', 'ह', 'ो', 'ज', 'ा', 'न', 'ा', 'सह', 'ी', 'नह', 'ी', 'ं', 'ह', 'ै', ',', 'र', 'ा', 'ष', '्', 'ट', '्', 'रह', 'ि', 'त', 'म', 'े', 'ं', 'सड', '़', 'क', 'पर', 'आन', 'ा', 'ह', 'ी', 'पड', '़', 'त', 'ा', 'ह', 'ै', '।', '#CAASupport']",0,0,1,1,0," सरकार को केवल वोट देकर खाली हो जाना सही नहीं है  राष्ट्रहित में  सड़क पर आना ही पड़ता है ।

CAASupport",0,32
7,"एक बार फिर #बाबर का जन्म होना चाहिये.......कुछ झोपड़ीवाले दोगले हिन्दूओ का धर्मपरिवर्तन करना भूल गया वो

#ISupportCAA",19-12-2019 14:43,,hi,,,3906,5137,#एक_कदम_हिंदूराष्ट्र_की_ओर (टीम पंडित नेतन्याहू #सलाहकार )         #BJP_मेम्बर,"Jharkhand, India",1.19E+18,08-11-2019 16:54,FALSE,FALSE,,0,1709,FALSE,,1248,TRUE,Sandeep Jaiswal🗣️🗡🗡(TPN),,Sandeep_Real_3,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1192848753788456961/ZVnsZXUM_normal.jpg,,1.21E+18,0,FALSE,Twitter for Android,FALSE,0,"['एक', 'ब', 'ा', 'र', 'फ', 'ि', 'र', '#', 'ब', 'ा', 'बर', 'क', 'ा', 'जन', '्', 'म', 'ह', 'ो', 'न', 'ा', 'च', 'ा', 'ह', 'ि', 'य', 'े', '.', '.', '.', '.', '.', '.', '.', 'क', 'ु', 'छ', 'झ', 'ो', 'पड', '़', 'ी', 'व', 'ा', 'ल', 'े', 'द', 'ो', 'गल', 'े', 'ह', 'ि', 'न', '्', 'द', 'ू', 'ओ', 'क', 'ा', 'धर', '्', 'मपर', 'ि', 'वर', '्', 'तन', 'करन', 'ा', 'भ', 'ू', 'ल', 'गय', 'ा', 'व', 'ो', '#ISupportCAA']","['एक', 'ब', 'ा', 'र', 'फ', 'ि', 'र', '#', 'ब', 'ा', 'बर', 'क', 'ा', 'जन', '्', 'म', 'ह', 'ो', 'न', 'ा', 'च', 'ा', 'ह', 'ि', 'य', 'े', '.', '.', '.', '.', '.', '.', '.', 'क', 'ु', 'छ', 'झ', 'ो', 'पड', '़', 'ी', 'व', 'ा', 'ल', 'े', 'द', 'ो', 'गल', 'े', 'ह', 'ि', 'न', '्', 'द', 'ू', 'ओ', 'क', 'ा', 'धर', '्', 'मपर', 'ि', 'वर', '्', 'तन', 'करन', 'ा', 'भ', 'ू', 'ल', 'गय', 'ा', 'व', 'ो', '#ISupportCAA']",0,0,2,0,0,"एक बार फिर बाबर का जन्म होना चाहियेकुछ झोपड़ीवाले दोगले हिन्दूओ का धर्मपरिवर्तन करना भूल गया वो

ISupportCAA",0,38
8,#IslamicTerrorism in full action in &amp; against #IndiaSupportsCAB. AntiIndia forces @INCIndia &amp; allies shall be overc… https://t.co/PHTEXAFUzA,19-12-2019 14:43,,en,,,8360,8680,,,904474212,25-10-2012 19:05,FALSE,FALSE,,4,290,FALSE,,966,TRUE,Keyur Buch,,FromTheReal,FALSE,C0DEED,http://pbs.twimg.com/profile_images/886934643752132608/nfADU0yk_normal.png,,1.21E+18,0,FALSE,Twitter Web App,FALSE,0,"['#IslamicTerrorism', 'in', 'full', 'action', 'in', '&', 'amp', ';', 'against', '#IndiaSupportsCAB', '.', 'AntiIndia', 'forces', '@INCIndia', '&', 'amp', ';', 'allies', 'shall', 'be', 'overc', '…', 'https://t.co/PHTEXAFUzA']","['#IslamicTerrorism', 'full', 'action', '&', 'amp', ';', '#IndiaSupportsCAB', '.', 'AntiIndia', 'forces', '@INCIndia', '&', 'amp', ';', 'allies', 'shall', 'overc', '…', 'https://t.co/PHTEXAFUzA']",0,0,2,1,1,IslamicTerrorism in full action in amp against IndiaSupportsCAB AntiIndia forces  amp allies shall be overc… ,0,15
9,"Hey Liberals &amp; Bollywood 
How you are going to defend this now? 
or its #CABProtest is #SecularCrime?… https://t.co/BhGU8CO7YG",19-12-2019 14:43,,en,,,5275,19845,"Pro-Nationalist, ExSecular - Political Correctness forced me toward Hindu Nationalism. It's better to be a Bhakt, Than to be a Slave. 

Hinduphobic Stay Away!",INDIA,1830619279,08-09-2013 15:22,FALSE,FALSE,https://www.facebook.com/CJ.India?ref=hl,16,296,FALSE,,901,TRUE,🇮🇳 iCJ,,CJ_India,TRUE,C0DEED,http://pbs.twimg.com/profile_images/648185626714488832/nCWrgoiU_normal.png,,1.21E+18,0,FALSE,Twitter Web App,FALSE,0,"['Hey', 'Liberals', '&', 'amp', ';', 'Bollywood', 'How', 'you', 'are', 'going', 'to', 'defend', 'this', 'now', '?', 'or', 'its', '#CABProtest', 'is', '#SecularCrime', '?', '…', 'https://t.co/BhGU8CO7YG']","['Hey', 'Liberals', '&', 'amp', ';', 'Bollywood', 'going', 'defend', '?', '#CABProtest', '#SecularCrime', '?', '…', 'https://t.co/BhGU8CO7YG']",2,0,2,0,1,"Hey Liberals amp Bollywood 
How you are going to defend this now 
or its CABProtest is SecularCrime… ",0,17
