text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
"Modi ji and his government works
When opposition is protesting and blaming the government.
This is how govt. Should… https://t.co/Cez8dvvWLP",2019-12-19 14:43:41,,en,,,184,10074,"मालवा मध्य प्रदेश    ||⛳ ब्राह्मण ⛳||

Democracy at work

                                                     





Advocate in making 🎓 ll Political writer✍",Indore India,977419121930354688,2018-03-24 5:37:33,FALSE,FALSE,https://instagram.com/abhishek.pathak.9617?igshid=14mitpe65jnha,0,221,FALSE,,89,TRUE,Abhishek Pathak 🇮🇳,,abhishek_9617,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1185482258062249985/T1d_K-yo_normal.jpg,,1207672858689900545,0,FALSE,Twitter for Android,FALSE,0
#ISupportDelhiPolice #ISupportCAA #ISupportCAB #ISupportNRC @INCIndia congress walo kan khol ko sun lo hume bhi roa… https://t.co/zEO9yLS59l,2019-12-19 14:43:41,,hi,,,701,37,,"New Delhi, India",482193169,2012-02-03 16:42:31,FALSE,FALSE,,0,9,FALSE,,39,TRUE,chandan kumar upadhy,,ChAnDu_BaBu_7,TRUE,C0DEED,http://pbs.twimg.com/profile_images/1143061511608258560/gyHpxEb7_normal.jpg,,1207672859855872000,0,FALSE,Twitter Web App,FALSE,0
"@narendramodi कांग्रेस और उनके साथियों को प्रधानमंत्री @narendramodi जी खुली चुनौती -💪

जिसमे भी हो हिम्मत, आ जाओ अ… https://t.co/6RGpHD0kpy",2019-12-19 14:43:43,,hi,,,48550,123412,"हिन्दू बनना चाहते हैं तो स्वामी विवेकानंद बनें ~
मुस्लिम बनना चाहते हैं तो डॉ० कलाम बनें ~

इतने महान नहीं बन सकते तो बस इंसान बनें 🙏","गुजरात, भारत",1007614320102948864,2018-06-15 13:22:29,FALSE,FALSE,,0,2803,FALSE,,55,TRUE,SANJAY D THAKOR,,sanjaysanjay738,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1200694159067119616/8QCTFkhM_normal.jpg,,1207672868210978817,0,FALSE,Twitter for Android,FALSE,0
"@narendramodi कांग्रेस और उनके साथियों को प्रधानमंत्री @narendramodi जी खुली चुनौती -💪

जिसमे भी हो हिम्मत, आ जाओ अ… https://t.co/Tohsmjwlff",2019-12-19 14:43:48,,hi,,,48550,123413,"हिन्दू बनना चाहते हैं तो स्वामी विवेकानंद बनें ~
मुस्लिम बनना चाहते हैं तो डॉ० कलाम बनें ~

इतने महान नहीं बन सकते तो बस इंसान बनें 🙏","गुजरात, भारत",1007614320102948864,2018-06-15 13:22:29,FALSE,FALSE,,0,2803,FALSE,,55,TRUE,SANJAY D THAKOR,,sanjaysanjay738,TRUE,F5F8FA,http://pbs.twimg.com/profile_images/1200694159067119616/8QCTFkhM_normal.jpg,,1207672885713747968,0,FALSE,Twitter for Android,FALSE,0
"All the terrorists must be dragged to the Jail

#IsupportCAB2019
#IndiaSupportsCAA",2019-12-19 14:43:51,,en,,,328,5144,IIT D Alumnus । Wireless Telecom Expert | Accidental Engineer | Proud Bhakt of Modi Ji | Proud Bhakt Yogi Ji | Social Works | Nation First | Humanity's First |,Delhi,111231701,2010-02-04 6:24:30,FALSE,FALSE,,3,41,FALSE,,168,TRUE,Sandeep Verma,,SandeepVer,TRUE,C0DEED,http://pbs.twimg.com/profile_images/580930828256952321/CLmz6Wnx_normal.jpg,,1207672898917457920,0,FALSE,Twitter for Android,FALSE,0
"@poetdushyant और जो ख़ुद को ज़िंदा मानता है,
लाशों की जलती अग्नि पर अपनी रोटियाँ ना सेंकें।
ये भी जोड़ देना चाहिए आ… https://t.co/mLhLmeEHhe",2019-12-19 14:43:51,,hi,,,139,1054,Mentor of Filmmaking at http://MyCaptain.in and A Mass Communication Graduate.,"Jaipur, India",1021654247216177152,2018-07-24 7:12:08,FALSE,FALSE,,0,12,FALSE,,203,TRUE,Lokesh Somani,,LokeshExists,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1056808795190554624/1gX0a_aJ_normal.jpg,,1207672899575914502,0,FALSE,Twitter for iPhone,FALSE,0
"@girishalva सरकार को केवल वोट देकर खाली हो जाना सही नहीं है , राष्ट्रहित में  सड़क पर आना ही पड़ता है ।

#CAASupport",2019-12-19 14:43:53,,hi,,,2663,729,🚩🚩 Nationalist 🇮🇳 🇮🇳  ।। interested in politics and scientific Technology ।।  and interested in playing cricket  ।। and reading historical books.,,1173819955394969600,2019-09-17 4:45:09,FALSE,FALSE,,0,36,FALSE,,25,TRUE,Kumar Umesh,,UmeshKu15158067,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1206983703970238464/6idIgV0J_normal.jpg,,1207672907457028103,0,FALSE,Twitter for Android,FALSE,0
"एक बार फिर #बाबर का जन्म होना चाहिये.......कुछ झोपड़ीवाले दोगले हिन्दूओ का धर्मपरिवर्तन करना भूल गया वो

#ISupportCAA",2019-12-19 14:43:53,,hi,,,3906,5137,#एक_कदम_हिंदूराष्ट्र_की_ओर (टीम पंडित नेतन्याहू #सलाहकार )         #BJP_मेम्बर,"Jharkhand, India",1192847724955090944,2019-11-08 16:54:36,FALSE,FALSE,,0,1709,FALSE,,1248,TRUE,Sandeep Jaiswal🗣️🗡🗡(TPN),,Sandeep_Real_3,FALSE,F5F8FA,http://pbs.twimg.com/profile_images/1192848753788456961/ZVnsZXUM_normal.jpg,,1207672907419258880,0,FALSE,Twitter for Android,FALSE,0
#IslamicTerrorism in full action in &amp; against #IndiaSupportsCAB. AntiIndia forces @INCIndia &amp; allies shall be overc… https://t.co/PHTEXAFUzA,2019-12-19 14:43:54,,en,,,8360,8680,,,904474212,2012-10-25 19:05:10,FALSE,FALSE,,4,290,FALSE,,966,TRUE,Keyur Buch,,FromTheReal,FALSE,C0DEED,http://pbs.twimg.com/profile_images/886934643752132608/nfADU0yk_normal.png,,1207672911416512513,0,FALSE,Twitter Web App,FALSE,0
"Hey Liberals &amp; Bollywood 
How you are going to defend this now? 
or its #CABProtest is #SecularCrime?… https://t.co/BhGU8CO7YG",2019-12-19 14:43:54,,en,,,5275,19845,"Pro-Nationalist, ExSecular - Political Correctness forced me toward Hindu Nationalism. It's better to be a Bhakt, Than to be a Slave. 

Hinduphobic Stay Away!",INDIA,1830619279,2013-09-08 15:22:04,FALSE,FALSE,https://www.facebook.com/CJ.India?ref=hl,16,296,FALSE,,901,TRUE,🇮🇳 iCJ,,CJ_India,TRUE,C0DEED,http://pbs.twimg.com/profile_images/648185626714488832/nCWrgoiU_normal.png,,1207672912557330433,0,FALSE,Twitter Web App,FALSE,0
